forecast_id,target_month,as_of,as_of_precision,vintage,model_key,model_label,model_version,model_provenance,estimate_mom_pct,data_cutoff,feature_hash,code_commit,status,created_at,actual_mom_pct,notes
1b87a2a2aac2d434ec97e895,2026-09,2026-09-19T04:46:48.549295+08:00,timestamp,early,product_level_ridge,Product-level ridge,reconstructed-v3-early,reconstructed,0.8804107734202151,2026-09-19T04:46:48.549295+08:00,d76ff16f9995d07ccfab3d43b2f191323d5e07919d94d2cb87e640e9a3920ffa,c95e1a75dd20fbd8341526f4f6d7ec1195402254,frozen_pre_release,2026-09-18T20:46:48.871457+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
283020f68c4bfac0fa21454f,2026-09,2026-09-19T04:46:48.549295+08:00,timestamp,early,sector_first_aggregation,Sector-first aggregation,reconstructed-v3-early,reconstructed,0.5687567402424168,2026-09-19T04:46:48.549295+08:00,d76ff16f9995d07ccfab3d43b2f191323d5e07919d94d2cb87e640e9a3920ffa,c95e1a75dd20fbd8341526f4f6d7ec1195402254,frozen_pre_release,2026-09-18T20:46:48.871457+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
cca0fe588d2814dc57f7dbae,2026-09,2026-09-19T04:46:48.549295+08:00,timestamp,early,random_forest,Random forest,reconstructed-v3-early,reconstructed,0.6113883269508268,2026-09-19T04:46:48.549295+08:00,d76ff16f9995d07ccfab3d43b2f191323d5e07919d94d2cb87e640e9a3920ffa,c95e1a75dd20fbd8341526f4f6d7ec1195402254,frozen_pre_release,2026-09-18T20:46:48.871457+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
cdb21cf4278eee5c0c15ecb9,2026-09,2026-09-24T15:48:16.589073+08:00,timestamp,final,category_factor_regression,Category-factor regression,reconstructed-v3-final,reconstructed,0.5939016232194483,2026-09-24T15:48:16.589073+08:00,de84c745e35a5f7a1b245979488db352b6b419967b8ea8bd05bc57e4abe78604,5149765bccab218aa6286215aaec9c05deeda367,frozen_pre_release,2026-09-24T07:48:16.891844+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
267503b12ddb16706864dc06,2026-09,2026-09-24T15:48:16.589073+08:00,timestamp,final,gradient_boosting,Gradient boosting,reconstructed-v3-final,reconstructed,0.8785324371360089,2026-09-24T15:48:16.589073+08:00,de84c745e35a5f7a1b245979488db352b6b419967b8ea8bd05bc57e4abe78604,5149765bccab218aa6286215aaec9c05deeda367,frozen_pre_release,2026-09-24T07:48:16.891844+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
392bdf20797d19f7df2af8bb,2026-09,2026-09-24T15:48:16.589073+08:00,timestamp,final,economic_ml_hybrid,Economic + ML hybrid,reconstructed-v3-final,reconstructed,0.74263529449259,2026-09-24T15:48:16.589073+08:00,de84c745e35a5f7a1b245979488db352b6b419967b8ea8bd05bc57e4abe78604,5149765bccab218aa6286215aaec9c05deeda367,frozen_pre_release,2026-09-24T07:48:16.891844+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
715c0d99634249c62c694f98,2026-09,2026-09-24T15:48:16.589073+08:00,timestamp,final,product_level_ridge,Product-level ridge,reconstructed-v3-final,reconstructed,1.2039621499183226,2026-09-24T15:48:16.589073+08:00,de84c745e35a5f7a1b245979488db352b6b419967b8ea8bd05bc57e4abe78604,5149765bccab218aa6286215aaec9c05deeda367,frozen_pre_release,2026-09-24T07:48:16.891844+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
9c81707b86406b6afc5b68a4,2026-09,2026-09-24T15:48:16.589073+08:00,timestamp,final,sector_first_aggregation,Sector-first aggregation,reconstructed-v3-final,reconstructed,0.6624854279861522,2026-09-24T15:48:16.589073+08:00,de84c745e35a5f7a1b245979488db352b6b419967b8ea8bd05bc57e4abe78604,5149765bccab218aa6286215aaec9c05deeda367,frozen_pre_release,2026-09-24T07:48:16.891844+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
d4e46ac46f40f7ba4013015e,2026-09,2026-09-24T15:48:16.589073+08:00,timestamp,final,random_forest,Random forest,reconstructed-v3-final,reconstructed,0.6456443843737961,2026-09-24T15:48:16.589073+08:00,de84c745e35a5f7a1b245979488db352b6b419967b8ea8bd05bc57e4abe78604,5149765bccab218aa6286215aaec9c05deeda367,frozen_pre_release,2026-09-24T07:48:16.891844+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
e9962cfe5d20ff74b9b584c4,2026-09,2026-09-24T15:48:16.589073+08:00,timestamp,final,twentieth_to_twentieth_direct,20th-to-20th direct trimmed index,reconstructed-v3-final,reconstructed,5.045842685554779,2026-09-24T15:48:16.589073+08:00,de84c745e35a5f7a1b245979488db352b6b419967b8ea8bd05bc57e4abe78604,5149765bccab218aa6286215aaec9c05deeda367,frozen_pre_release,2026-09-24T07:48:16.891844+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
19b198196cb2a7f4d517e953,2026-09,2026-09-24T15:48:16.589073+08:00,timestamp,final,twentieth_to_twentieth_ridge,20th-to-20th product ridge,reconstructed-v3-final,reconstructed,0.7799156750246914,2026-09-24T15:48:16.589073+08:00,de84c745e35a5f7a1b245979488db352b6b419967b8ea8bd05bc57e4abe78604,5149765bccab218aa6286215aaec9c05deeda367,frozen_pre_release,2026-09-24T07:48:16.891844+00:00,,Reconstructed candidate; generated from immutable prospective source snapshots.
